Gene	Count1(%)	Count2(%)	Count3(%)	Count4(%)
ENSG00000058404	12.24	0	0	0
ENSG00000197122	30.00	0	0	0
ENSG00000140416	9.09	0	1.81	0
ENSG00000139220	9.09	0	0	0
ENSG00000107643	16.66	0	0	0
ENSG00000187122	12.50	0	0	0
ENSG00000128641	41.66	0	0	0
ENSG00000148737	20.40	0	0	0
ENSG00000010810	33.33	0	0	0
ENSG00000169855	8.00	0	0	0
ENSG00000185008	20.83	0	0	0
ENSG00000092421	43.75	0	0	0
ENSG00000050748	9.09	0	0	0
