gene,1,2,3,4
ENSG00000169855,8.57,0.00,0.00,0.00
ENSG00000092421,12.50,0.00,0.00,0.00
ENSG00000185008,18.75,0.00,0.00,0.00
ENSG00000058404,25.58,0.00,0.00,0.00
ENSG00000148737,89.19,5.41,5.41,0.00
ENSG00000107643,100.00,0.00,0.00,0.00
ENSG00000140416,13.04,0.00,0.00,0.00
ENSG00000139220,50.98,0.00,0.00,0.00
ENSG00000050748,5.26,0.00,0.00,0.00
ENSG00000187122,0.00,0.00,0.00,0.00
ENSG00000128641,100.00,0.00,0.00,0.00
ENSG00000010810,0.00,0.00,0.00,0.00
ENSG00000197122,25.00,0.00,0.00,0.00
