gene,1,2,3,4
ENSMUSG00000021936,0.00,0.00,0.00,0.00
ENSMUSG00000057897,0.00,33.33,0.00,0.00
ENSMUSG00000019647,0.00,0.00,0.00,0.00
ENSMUSG00000027646,0.00,0.00,0.00,100.00
ENSMUSG00000052516,0.00,0.00,0.00,0.00
ENSMUSG00000020366,0.00,0.00,0.00,100.00
ENSMUSG00000053825,100.00,0.00,0.00,0.00
ENSMUSG00000032366,0.00,12.50,12.50,0.00
ENSMUSG00000019843,0.00,0.00,0.00,100.00
ENSMUSG00000025020,0.00,0.00,0.00,0.00
ENSMUSG00000024985,0.00,0.00,40.00,30.00
ENSMUSG00000018417,33.33,0.00,0.00,33.33
